Player,Position,Score,Value over Avg,Value over Next
Tommy Bohanon NYJ RB,RB,1.60,-96.45,0.08
Orson Charles NO RB SSPD,RB,1.52,-96.53,0.04
Gus Johnson Dal RB Q,RB,1.48,-96.57,0.07
Kenny Hilliard Hou RB,RB,1.41,-96.64,0.01
Jay Prosch Hou RB,RB,1.40,-96.65,0.31
Isaiah Pead StL RB,RB,1.09,-96.96,0.37
Darrin Reaves KC RB,RB,0.72,-97.33,0.04
Boobie Dixon Buf RB P,RB,0.72,-97.33,0.00
Shaun Draughn Cle RB P,RB,0.72,-97.33,0.00
Jeremy Stewart Den RB,RB,0.72,-97.33,0.00
Thomas Rawls Sea RB,RB,0.72,-97.33,0.00
Jordan Todman Car RB,RB,0.68,-97.37,0.04
Fitzgerald Toussaint Bal RB,RB,0.68,-97.37,0.00
John Crockett GB RB,RB,0.64,-97.41,0.08
Mike James TB RB,RB,0.56,-97.49,0.04
Storm Johnson Jac RB,RB,0.56,-97.49,0.00
Henry Hynoski NYG RB,RB,0.52,-97.53,0.16
Matthew Tucker* Phi RB IR,RB,0.36,-97.69,0.04
Cedric Peerman Cin RB,RB,0.36,-97.69,0.00
Bryce Brown Buf RB P,RB,0.36,-97.69,0.00
Kenjon Barner Phi RB,RB,0.36,-97.69,0.00
Silas Redd* Wsh RB IR,RB,0.32,-97.73,0.04
Senorise Perry Chi RB,RB,0.28,-97.77,0.28
Ahmad Bradshaw Ind RB SSPD,RB,0.00,-98.05,0.00
Pierre Thomas NO RB,RB,0.00,-98.05,0.00
Felix Jones Pit RB,RB,0.00,-98.05,0.00
LaRod Stephens-Howling Pit RB,RB,0.00,-98.05,0.00
Isaac Redman Pit RB,RB,0.00,-98.05,0.00
Ben Tate Pit RB,RB,0.00,-98.05,0.00
Bernard Pierce Jac RB,RB,0.00,-98.05,0.00
Jawan Jamison Pit RB,RB,0.00,-98.05,0.00
Miguel Maysonet Pit RB,RB,0.00,-98.05,0.00
Tyler Gaffney* NE RB IR,RB,0.00,-98.05,0.00
Lache Seastrunk Dal RB,RB,0.00,-98.05,0.00
LaDarius Perkins Pit RB,RB,0.00,-98.05,0.00
Bruce Ellington SF WR,WR,6.93,-98.36,0.40
Travis Benjamin Cle WR,WR,6.53,-98.76,1.12
Chris Hogan Buf WR Q,WR,5.41,-99.88,0.20
Jason Avant KC WR,WR,5.21,-100.08,0.53
Stefon Diggs Min WR,WR,5.21,-100.08,0.00
Rishard Matthews Mia WR,WR,4.69,-100.61,0.73
Josh Morgan NO WR,WR,3.96,-101.33,0.26
Jarrett Boykin Car WR,WR,3.70,-101.60,0.07
Paul Richardson* Sea WR O,WR,3.63,-101.66,0.07
Robert Herron TB WR,WR,3.56,-101.73,0.26
Jared Abbrederis GB WR Q,WR,3.30,-101.99,0.07
Andre Caldwell Den WR,WR,3.23,-102.06,0.07
Jacoby Jones SD WR,WR,3.17,-102.13,0.13
Terrelle Pryor Cle WR Q,WR,3.17,-102.13,0.00
James Jones NYG WR,WR,3.17,-102.13,0.00
Darrius Heyward-Bey Pit WR,WR,3.17,-102.13,0.00
Ricardo Lockette Sea WR,WR,3.04,-102.26,0.07
Joshua Bellamy Chi WR,WR,3.04,-102.26,0.00
Lance Moore Det WR,WR,2.97,-102.32,0.07
Kenbrell Thompkins Oak WR,WR,2.90,-102.39,0.07
Ace Sanders Jac WR SSPD,WR,2.84,-102.46,0.07
Ryan Grant Wsh WR,WR,2.84,-102.46,0.00
JJ Nelson Ari WR,WR,2.84,-102.46,0.00
Damaris Johnson Hou WR,WR,2.77,-102.52,0.13
Neal Sterling Jac WR,WR,2.64,-102.65,0.07
Keith Mumphery Hou WR,WR,2.64,-102.65,0.00
Chris Givens StL WR,WR,2.57,-102.72,0.92
