Player,Position,Score,Marginal Value
Derek Stanley - STL,WR,2.42,-103.51
Mike Furrey - WAS,WR,2.20,-103.73
Brandon Banks - WAS,WR,2.20,-103.74
Scotty McKnight - NYJ,WR,2.18,-103.76
Derrick Williams - DET,WR,2.07,-103.87
Tiquan Underwood - JAC,WR,2.05,-103.89
Andre Davis - HOU,WR,2.00,-103.94
Preston Parker - TB,WR,1.85,-104.09
Quan Cosby - CIN,WR,1.85,-104.09
John Standeford - CIN,WR,1.83,-104.11
Devard Darling - HOU,WR,1.80,-104.13
Taj Smith - IND,WR,1.74,-104.20
Terrance Copper - KC,WR,1.65,-104.29
Terrence Austin - WAS,WR,1.63,-104.31
Marc Mariani - TEN,WR,1.25,-104.68
Brian Clark - DET,WR,0.57,-105.36
Marko Mitchell - MIN,WR,0.35,-105.59
Isaiah Stanback - SEA,WR,0.33,-105.61
Jeremy Horne - KC,WR,0.31,-105.63
Logan Payne - NYJ,WR,0.28,-105.65
Glenn Martinez - HOU,WR,0.24,-105.69
Manuel Johnson - DAL,WR,0.13,-105.80
Quinten Lawrence - KC,WR,0.09,-105.85
Christian Ponder - MIN,QB,68.54,-151.32
John Beck - WAS,QB,61.12,-158.74
Tim Tebow - DEN,QB,49.91,-169.95
Jake Locker - TEN,QB,42.93,-176.93
Colin Kaepernick - SF,QB,41.69,-178.17
Blaine Gabbert - JAC,QB,40.86,-178.99
Charlie Whitehurst - SEA,QB,38.15,-181.71
Vince Young - PHI,QB,37.11,-182.75
Brad Smith - BUF,QB,20.44,-199.42
Jimmy Clausen - CAR,QB,19.72,-200.14
Shaun Hill - DET,QB,17.42,-202.44
Kyle Boller - OAK,QB,14.15,-205.71
Tyler Thigpen - BUF,QB,13.70,-206.16
Seneca Wallace - CLE,QB,13.22,-206.64
John Skelton - ARI,QB,12.71,-207.15
Troy Smith - SF,QB,8.95,-210.91
Bruce Gradkowski - CIN,QB,8.86,-211.00
Sage Rosenfels - NYG,QB,7.12,-212.73
Kerry Collins - IND,QB,6.70,-213.16
Luke McCown - JAC,QB,6.19,-213.67
Joe Webb - MIN,QB,6.00,-213.86
Jon Kitna - DAL,QB,5.80,-214.06
Byron Leftwich - PIT,QB,5.64,-214.21
Curtis Painter - IND,QB,5.05,-214.81
