Player,Position,Score,Marginal Value
David Clowney - CAR,WR,0.70,-186.07
Tim Tebow - DEN,QB,62.92,-186.42
Kerry Collins - IND,QB,56.81,-192.53
Jake Locker - TEN,QB,53.60,-195.74
Colin Kaepernick - SF,QB,48.70,-200.64
Vince Young - PHI,QB,47.60,-201.74
Charlie Whitehurst - SEA,QB,47.41,-201.93
John Beck - WAS,QB,43.71,-205.63
Bruce Gradkowski - CIN,QB,31.38,-217.96
Brad Smith - BUF,QB,26.51,-222.83
Jimmy Clausen - CAR,QB,22.13,-227.21
Shaun Hill - DET,QB,20.04,-229.30
Kyle Boller - OAK,QB,17.33,-232.01
Seneca Wallace - CLE,QB,16.97,-232.37
John Skelton - ARI,QB,15.84,-233.50
Matt Moore - MIA,QB,14.12,-235.22
Tyler Thigpen - BUF,QB,12.58,-236.76
Joe Webb - MIN,QB,9.05,-240.29
David Carr - NYG,QB,8.13,-241.21
Jon Kitna - DAL,QB,7.15,-242.19
Charlie Batch - PIT,QB,5.82,-243.52
Matt Flynn - GB,QB,5.13,-244.21
Chris Redman - ATL,QB,4.83,-244.51
Matt Leinart - HOU,QB,4.61,-244.73
Brian Hoyer - NE,QB,3.76,-245.58
Caleb Hanie - CHI,QB,3.17,-246.17
Billy Volek - SD,QB,3.06,-246.28
Tyler Palko - KC,QB,2.27,-247.07
Chase Daniel - NO,QB,1.35,-247.99
Ryan Mallett - NE,QB,0.78,-248.56
Brady Quinn - DEN,QB,0.43,-248.91
Tyrod Taylor - BAL,QB,0.42,-248.92
Greg McElroy - NYJ,QB,0.37,-248.97
Sage Rosenfels - NYG,QB,0.33,-249.01
Dan LeFevour - CIN,QB,0.31,-249.03
Curtis Painter - IND,QB,0.27,-249.07
Josh Johnson - TB,QB,0.26,-249.08
Ricky Stanzi - KC,QB,0.20,-249.14
Mark Brunell - NYJ,QB,0.14,-249.20
Brian Brohm - BUF,QB,0.09,-249.25
Kevin O'Connell - NYJ,QB,-0.03,-249.37
