Player,Position,Score,Value over Avg,Value over Next
Brandon Myers TB TE,TE,8.79,-153.42,0.10
Garrett Graham Den TE P,TE,8.69,-153.52,0.53
Craig Stevens Ten TE,TE,8.16,-154.05,0.34
Jim Dray Buf TE P,TE,7.82,-154.39,2.29
Matthew Mulligan Det TE P,TE,5.53,-156.68,0.13
Matt Spaeth Pit TE Q,TE,5.40,-156.81,5.40
Stevan Ridley Det RB,RB,19.10,-156.83,0.58
James Jones SD WR,WR,42.65,-156.94,12.53
Mike Davis SF RB,RB,18.52,-157.41,4.16
James Develin NE RB,RB,14.36,-161.57,0.48
Malcolm Brown LA RB,RB,13.88,-162.05,0.37
Alex Smith Wsh TE,TE,0.00,-162.21,0.00
Owen Daniels Den TE,TE,0.00,-162.21,0.00
Daniel Fells NYG TE Q,TE,0.00,-162.21,0.00
Scott Chandler* NE TE O,TE,0.00,-162.21,0.00
Clark Harris Cin TE,TE,0.00,-162.21,0.00
Fred Davis Wsh TE,TE,0.00,-162.21,0.00
James Casey Den TE,TE,0.00,-162.21,0.00
Chase Coffman Ind TE,TE,0.00,-162.21,0.00
Bear Pascoe NE TE,TE,0.00,-162.21,0.00
John Phillips Den TE P,TE,0.00,-162.21,0.00
Tony Moeaki Chi TE Q,TE,0.00,-162.21,0.00
Anthony McCoy Sea TE,TE,0.00,-162.21,0.00
Andrew Quarless Det TE SSPD,TE,0.00,-162.21,0.00
Richie Brockel Car TE,TE,0.00,-162.21,0.00
Jeff Cumberland* SD TE IR,TE,0.00,-162.21,0.00
Luke Stocker TB TE,TE,0.00,-162.21,0.00
David Ausberry Det TE,TE,0.00,-162.21,0.00
D.J. Williams Wsh TE,TE,0.00,-162.21,0.00
Alex Collins Sea RB,RB,13.51,-162.42,1.04
Mark Sanchez Den QB,QB,105.95,-163.29,34.30
Donald Brown NE RB Q,RB,12.47,-163.46,0.70
Daniel Lasco NO RB,RB,11.77,-164.16,3.95
John Kuhn NO RB,RB,7.82,-168.11,2.54
Danny Amendola* NE WR O,WR,30.12,-169.47,4.61
Jonathan Williams Buf RB,RB,5.28,-170.65,1.90
Jerome Felton Buf RB,RB,3.38,-172.55,1.08
Cedric Peerman Cin RB,RB,2.30,-173.63,1.59
Devin Smith* NYJ WR O,WR,25.51,-174.08,1.96
Dwayne Washington Det RB,RB,0.71,-175.22,0.71
Steven Jackson NE RB,RB,0.00,-175.93,0.00
Fred Jackson Sea RB,RB,0.00,-175.93,0.00
Marshawn Lynch Sea RB,RB,0.00,-175.93,0.00
Ahmad Bradshaw Ind RB P,RB,0.00,-175.93,0.00
Pierre Thomas Wsh RB,RB,0.00,-175.93,0.00
Ray Rice FA RB,RB,0.00,-175.93,0.00
Jorvorskie Lane TB RB,RB,0.00,-175.93,0.00
Knowshon Moreno FA RB,RB,0.00,-175.93,0.00
Marcus Thigpen Buf RB,RB,0.00,-175.93,0.00
Darrel Young Chi RB,RB,0.00,-175.93,0.00
Antone Smith NYJ RB,RB,0.00,-175.93,0.00
Ben Tate Pit RB,RB,0.00,-175.93,0.00
Toby Gerhart Jax RB,RB,0.00,-175.93,0.00
Boobie Dixon Buf RB,RB,0.00,-175.93,0.00
Joique Bell Det RB,RB,0.00,-175.93,0.00
Tyler Clutts Dal RB,RB,0.00,-175.93,0.00
Rashard Higgins Cle WR,WR,23.55,-176.04,4.53
Jeff Janis* GB WR O,WR,19.02,-180.57,10.44
Rueben Randle Phi WR,WR,8.58,-191.01,8.58
Jimmy Garoppolo NE QB,QB,71.65,-197.59,6.99
Wes Welker LA WR,WR,0.00,-199.59,0.00
Roddy White Atl WR,WR,0.00,-199.59,0.00
Joshua Cribbs Ind WR,WR,0.00,-199.59,0.00
Nate Washington NE WR,WR,0.00,-199.59,0.00
Lance Moore Atl WR,WR,0.00,-199.59,0.00
